city,n,rmse,mae,bias,horizon_bucket
ANK,365,2.009482386092202,1.50484346069866,0.02639919578285532,h9
ATL,364,1.9839427219735957,1.5303879198303976,-0.07461529737715507,h9
BUE,365,2.122992985468365,1.628303264312505,-0.38193827213237536,h9
CHI,364,2.4168429610035345,1.7594108169617677,0.06120293113354346,h9
DAL,356,1.8837679978565014,1.4055395480986168,0.22941978180193862,h9
LON,365,1.8722026608436468,1.4313542488725999,-0.2612606340784315,h9
MIA,364,1.2593071450989473,0.9145701553673445,0.018419205247417202,h9
NYC,364,2.1310805523424228,1.5937797748154718,0.2314909650338457,h9
PAR,365,1.936132137981176,1.5400419780315426,0.22912767851815335,h9
SEA,365,1.4219886259728989,1.1329843153026913,0.07665853739316877,h9
SEL,366,0.9661375026349055,0.687140899262519,0.011686650849557003,h9
TOR,364,2.137905927119949,1.6268285390914894,0.22085685974583208,h9
WLG,365,0.8537159408384719,0.6322242648635418,0.041794575138930964,h9
ANK,365,2.0750819598535135,1.5768927235392298,0.05421133080743845,h8
ATL,364,1.7560325214040322,1.3571316898411174,0.09162168222436137,h8
BUE,365,1.940098595002244,1.4860751866582225,-0.16788142610889864,h8
CHI,364,2.331747089788631,1.7205154826463225,0.12122953931481169,h8
DAL,356,1.7704436247748292,1.3461515372398105,0.3025601687324949,h8
LON,365,1.7906033193737572,1.372634663857108,-0.17073133317774453,h8
MIA,364,1.2354603692035997,0.9012859197566077,0.1285622529457347,h8
NYC,364,1.9798077036773785,1.5571591729410632,0.4037315787063522,h8
PAR,365,1.8582586065448912,1.467312280501841,0.06562776287574693,h8
SEA,365,1.2789586077400563,1.0173120777426572,0.11756857520019434,h8
SEL,366,0.9924031895799604,0.6968022851881946,0.02046395517075299,h8
TOR,364,2.044645272379709,1.5614610742746478,0.20671583038466967,h8
WLG,365,0.8337361745146673,0.6101113986036606,0.06047314035399268,h8
ANK,365,1.7796539220517722,1.3838973454683003,-0.17021199767376108,h7
ATL,364,1.7142365706563087,1.2823409765918312,0.3871813869351897,h7
BUE,365,1.6953608895875178,1.330822653091394,0.009950826737986987,h7
CHI,364,2.1426766822444883,1.5946792708210316,0.34897724964033894,h7
DAL,356,1.5952227699760275,1.2324174913764483,0.5202051249220949,h7
LON,365,1.65731367283877,1.267589112359936,-0.15148753836854253,h7
MIA,364,1.2571217028893247,0.9503635292551061,0.28208427964342947,h7
NYC,364,1.862768318452711,1.469811950171133,0.4435713548325265,h7
PAR,365,1.7705817669909973,1.4082798205511557,-0.015443283901404068,h7
SEA,365,1.2638863718645574,0.9936482227882937,0.2115934603029657,h7
SEL,366,0.8956710563982246,0.6475648923998524,0.011644763421247942,h7
TOR,364,1.778493399969994,1.339576232142214,0.18133083678410283,h7
WLG,365,0.7479560713032842,0.5549483292570105,0.05104255192229867,h7
ANK,365,1.6526490550793873,1.2848238462738222,0.2842272640592184,h6
ATL,364,1.511933643660684,1.1503083908869054,0.3303167182513783,h6
BUE,365,1.4362641868944301,1.14893251209636,0.09601639658774211,h6
CHI,364,1.877295104843376,1.40383569287268,0.3294736485236946,h6
DAL,356,1.4563976319153655,1.15484217061709,0.5523935054192113,h6
LON,365,1.4263188654446226,1.1328508155842347,-0.09618992682590745,h6
MIA,364,1.1310608103338657,0.8564436097410173,0.30809039537163224,h6
NYC,364,1.7405216217920285,1.3421384951530095,0.3757252147521082,h6
PAR,365,1.6414038205637131,1.2615518630173057,-0.09474957634201021,h6
SEA,364,1.16739979804059,0.920091479526074,0.19613673234291074,h6
SEL,366,1.7073241297848987,1.2704634914616217,0.04317244898168547,h6
TOR,364,1.5515180988994135,1.1486264088596034,0.10063539884152624,h6
WLG,365,0.7405789693076228,0.5600793101903929,0.08394349060311432,h6
ANK,365,1.3856001055355487,1.0805189390123322,0.2944681264341705,h5
ATL,364,1.4017035072042767,1.0876153673112208,0.37680933391922716,h5
BUE,365,1.320153058211921,1.010646009542391,0.08757782061067781,h5
CHI,364,1.7090550896966659,1.2796087248015457,0.4854214811954782,h5
DAL,356,1.3427025567622035,1.0416070414434815,0.5422983101654467,h5
LON,365,1.2544911846766376,0.9806908646603516,-0.0012625536445894812,h5
MIA,364,1.0839139876490602,0.8393990413112761,0.349288687459327,h5
NYC,364,1.5751863534703927,1.2070839592033042,0.3296309920566284,h5
PAR,365,1.4246587589562416,1.1062721455666633,-0.1267562281120581,h5
SEA,364,1.0693598123428876,0.853585359352949,0.28863198498429876,h5
SEL,366,1.5620100169929714,1.2059187644857208,0.0914243108056535,h5
TOR,364,1.3756698205007802,1.004860841348616,0.06458846387746738,h5
WLG,365,0.6894449026302171,0.5226601565436261,0.06367184368457485,h5
ANK,365,1.1786611737627268,0.9116347188544782,-0.17590904734283844,h4
ATL,364,1.2010266025037868,0.9250934255606692,0.3696268319080546,h4
BUE,365,1.0940993563628971,0.8804184359348811,0.14223329854872618,h4
CHI,364,1.5550535578759064,1.1070489043600547,0.40951328544811344,h4
DAL,363,1.1803970828089398,0.8783195745249807,0.5454683438738868,h4
LON,365,1.1323291891949652,0.888009601567776,-0.0006437851082309263,h4
MIA,364,0.9251289806678364,0.689343221877398,0.2621173199207908,h4
NYC,364,1.3183141155759135,1.0106900611055516,0.31400797366936023,h4
PAR,365,1.2457245933286036,0.9712689568696384,-0.09210877042779161,h4
SEA,364,0.9130511729521399,0.7333147333435635,0.2662554580011003,h4
SEL,366,1.3403020800611627,1.05087297670562,0.021930845498245474,h4
TOR,364,1.1822528868540294,0.857501254481645,0.03843899705065773,h4
WLG,365,0.5760377251525948,0.43998764803562335,0.03202631981940626,h4
ANK,365,1.0000941081231607,0.7881947467037514,0.19215816035440622,h3
ATL,364,0.920088330259043,0.7510503508806585,0.3173078318778572,h3
BUE,365,0.936798944816031,0.7211683081575774,0.15404761679548057,h3
CHI,364,1.1460256439546557,0.8345024598405298,0.22414728196745135,h3
DAL,356,0.8599620781390163,0.6565654579577136,0.3549299292010062,h3
LON,365,0.8873009869974691,0.7088321504132898,0.003848222828856244,h3
MIA,364,0.786959293053165,0.6187772995149922,0.24199904520478907,h3
NYC,364,1.0241517616998705,0.7947313223422642,0.21226177365802124,h3
PAR,365,1.0586629827043446,0.8007385058355174,-0.10310036674137497,h3
SEA,364,0.7470549659946016,0.5966373213753197,0.20635725708789282,h3
SEL,366,1.1415119227865653,0.8689079094081804,0.0038047539439280756,h3
TOR,364,1.0608484249716221,0.762740385087714,0.011889609417525995,h3
WLG,365,0.41748025263359506,0.3083097587885837,0.028705628864971175,h3
ANK,365,0.8061428514617729,0.6127346413196939,0.1614430098093514,h2
ATL,364,0.6483570788052399,0.5328351254641007,0.23560271533502705,h2
BUE,364,0.7326261955412087,0.5705600070311118,0.06950071327529554,h2
CHI,364,0.951785110682289,0.6683191897758637,0.12794342766184533,h2
DAL,356,0.6725741963795395,0.5433055900208661,0.253640233976316,h2
LON,365,0.6910941519707979,0.5382474623708984,-0.012189693027659317,h2
MIA,364,0.6172929113000698,0.48308562836085456,0.16952476246946224,h2
NYC,364,0.853329236542632,0.6467721764068621,0.08595252757007842,h2
PAR,365,0.8729698584648622,0.6787160590219359,-0.0691555655556093,h2
SEA,364,0.6006230812736184,0.4935695152289281,0.11392364098095924,h2
SEL,366,0.925182122697644,0.7141881852651968,0.059281149111633485,h2
TOR,364,0.8923187563981589,0.631099285053271,-0.05696206049968266,h2
WLG,365,1.066348600291553,0.8058714082986222,0.01582535773888325,h2
ANK,366,0.6034837852739774,0.4069668680771912,0.030639480754803352,h1
ATL,365,0.470901169316307,0.3974164929677354,0.11652836375211939,h1
BUE,365,0.5390389927894094,0.39431449419818804,0.016222641187319902,h1
CHI,365,0.7301793799386114,0.47909277433447395,0.02601905983471242,h1
DAL,357,0.4237619804527744,0.3568449092339006,0.1329912767649352,h1
LON,366,0.5179060349618997,0.37778380952853025,-0.013564526191521318,h1
MIA,365,0.43052001531363443,0.33145804403207335,0.05187328619830423,h1
NYC,365,0.6026183289576015,0.4455505038590568,0.07606867469095692,h1
PAR,366,0.6788772016214576,0.5216625813380428,-0.031550962450140316,h1
SEA,365,0.4023748930272505,0.3094895742690512,0.030604553756069627,h1
SEL,366,0.6716279782852396,0.4845496592933103,0.07098537957625306,h1
TOR,365,0.7197346054244856,0.46658488688504135,-0.05154210401545327,h1
WLG,366,1.0321850676691515,0.739178704856778,0.023739227924432928,h1
