city,month,n_days,mean_peak_offset_hours,median_peak_offset_hours,std_peak_offset_hours,p10_peak_offset_hours,p90_peak_offset_hours,mean_abs_peak_offset_hours,median_abs_peak_offset_hours,mean_peak_hour_local,median_peak_hour_local,mean_solar_noon_hour_local,median_solar_noon_hour_local,mean_daily_max_temp,p90_daily_max_temp,mean_n_peak_obs
ANK,1,651,2.517384993052462,2.88736037767,1.5391846952251467,0.6008637899172222,4.0006183352511115,2.649283289772951,2.983069958392222,14.937433009045913,15.0,12.420048259818685,12.013829332993696,3.813364055299539,10.0,1.6159754224270353
ANK,2,593,2.554839493177449,2.963010871954167,1.403762225370189,0.9658314807788888,3.967264668670278,2.6629796373467784,2.9637401382980553,15.061358441071762,15.0,12.506519215567542,12.037838340122565,7.007925801011804,14.0,1.5868465430016863
ANK,3,635,2.642736963983396,3.0126706203241667,1.4695232864799281,0.7096339003981679,4.073855537208056,2.7700741190843665,3.0167952867311114,15.126089238845145,15.0,12.483352274861932,12.87861301756245,11.531653543307087,18.0,1.4299212598425197
ANK,4,600,2.845003461483495,3.1978331328566667,1.5211971060463831,0.7191999115236667,4.236709733942222,2.953064340944722,3.199999610191111,15.65,16.0,12.804996538516598,12.800000389809025,16.918833333333332,23.1,1.47
ANK,5,620,2.9907290388910304,3.262523896801111,1.6302304049120997,0.7581105695819166,5.24717216079,3.1061510549833637,3.262854343875,15.732123655913977,16.0,12.741394617023058,12.739669415188375,21.56774193548387,28.0,1.4516129032258065
ANK,6,600,3.110614728245486,3.2195578677230556,1.5382367948899283,1.1487964580080554,5.181188210029167,3.179864697926598,3.2195578677230556,15.915277777777776,16.0,12.804663049532499,12.804336288981231,26.075666666666667,31.0,1.435
ANK,7,620,3.455126849471127,3.5971979702947223,1.1639656310349535,2.09117641992,5.091916371346111,3.466834028126684,3.5971979702947223,16.348790322580644,16.5,12.893663473109552,12.898605203152151,30.04612903225806,34.010000000000005,1.5096774193548388
ANK,8,620,3.4966990901799893,3.625085834836111,0.9726436977881093,2.131992581521111,4.613741604168362,3.499400559714721,3.625085834836111,16.36774193548387,16.5,12.871042845303991,12.878313237071795,30.839677419354835,35.0,1.482258064516129
ANK,9,600,3.1781458139554557,3.3481969102380558,1.161999709304748,2.1989827358391665,4.283392129811111,3.228190635690071,3.3481969102380558,15.89611111111111,16.0,12.71796529715581,12.716607870188914,25.792166666666667,31.110000000000003,1.55
ANK,10,620,2.8092466800214964,2.9581481650341663,1.1300517958274043,1.4356792562047225,3.962705881525,2.8560847739796236,2.9581481650341663,15.311021505376345,15.5,12.501774825355012,12.556697210230395,19.315322580645162,25.01,1.4629032258064516
ANK,11,600,2.597223456132729,2.469240885357222,1.0763206113579573,1.4109183833039167,3.472427671515,2.6446802361881674,2.469240885357222,14.66711111111111,15.0,12.069887654978526,12.527341770910956,12.984833333333333,19.2,1.3716666666666666
ANK,12,620,2.454563167683091,2.336046119295,1.341125404262469,0.83260565742,3.7358487658141666,2.571764637794236,2.33948658117,14.684212365591398,15.0,12.229649581932879,12.23528659987751,6.3956451612903225,11.5,1.4838709677419355
ATL,1,682,2.374602316916573,2.7461618100741663,1.8443073624616164,0.1999259008,4.1548832917250005,2.7781255418900193,2.7866230186630556,15.146646301726948,15.5,12.772044450294876,12.778202946679242,11.636950146627566,19.4,1.967741935483871
ATL,2,621,2.5147722455859403,3.1348242052872224,2.0358748011428527,0.14071679280305555,4.140498768644166,2.9932228262648426,3.1376281123091667,15.373935856146002,16.0,12.85916380226331,12.860893835248236,14.462640901771335,21.7,1.8244766505636072
ATL,3,665,2.7305369234137977,3.1804842773391666,1.7684532348795239,0.727387587571,4.256094527595001,3.0244977656335776,3.192852542542222,16.127907268170425,16.5,13.397370344756785,13.722740222667392,18.665413533834588,25.6,1.8451127819548871
ATL,4,630,2.9867547028099257,3.3585112861522224,1.6276881160083898,1.3575774309069166,4.380151975864167,3.2098761867853556,3.367479988855,16.61522486772487,17.0,13.628470164915084,13.628187056475692,22.80920634920635,27.8,1.8698412698412699
ATL,5,651,2.7797814970480417,2.935438770515,1.488528079782002,1.4237861728841665,4.4257825525622225,2.9386607671386757,2.9360543326980557,16.349359959037375,16.5,13.569578461989456,13.56785608185504,26.693241167434714,31.1,1.8110599078341014
ATL,6,630,2.6940949271293566,2.879736746247083,1.395387236439872,0.40327709149850005,4.367477044352222,2.777180822055236,2.8814492552491666,16.326904761904764,16.5,13.632809834775573,13.632522955647898,30.668412698412695,33.9,1.7142857142857142
ATL,7,651,2.514856471870367,2.7646293976322225,1.424345156534255,0.30088501685999997,4.262481149446111,2.628712825219684,2.765685964217222,16.23668714797747,16.5,13.721830676107336,13.726791869818816,31.665284178187402,34.4,1.685099846390169
ATL,8,651,2.5559283844234195,2.7766196699541665,1.3260259243878603,0.800459330195,4.267332988534167,2.6512865508058594,2.7766196699541665,16.255197132616487,16.5,13.699268748193148,13.706499903738461,31.301689708141325,34.4,1.7526881720430108
ATL,9,630,2.5246946961029324,2.5346455673041666,1.2631992041953504,0.9545781637995556,3.540915917958806,2.6109620804049825,2.5346455673041666,16.07091798941799,16.0,13.546223671244055,13.544794536855584,28.672063492063494,32.8,1.7809523809523808
ATL,10,651,2.514035499815991,2.629961498367222,1.3016700887355124,1.0999568289222221,3.62737953133,2.6418761904686066,2.6323425076141667,15.897644649257552,16.0,13.383609149441757,13.38488387689706,23.35268817204301,28.3,1.758832565284178
ATL,11,630,2.4273070944710735,2.6319744624122223,1.4855268424079964,0.6430115079279166,3.6319744624122223,2.6269386167576028,2.6362808450891664,14.897804232804233,15.0,12.470497138333219,12.386198430981748,17.571587301587304,23.360000000000014,1.8793650793650793
ATL,12,652,2.3219103532376715,2.518066671117222,1.923928510688732,0.37816637784261126,3.5432418185826666,2.7379834417312092,2.8305957038180556,14.879841939331971,15.0,12.557931890408348,12.553937831504026,13.466411042944786,21.09,1.9524539877300613
BUE,1,682,2.6874644255605515,2.9286610249166665,1.6153714541056492,0.8916931102526112,4.90613107557186,2.8455685248756364,2.9366567190649997,15.824291300097752,16.0,13.1368268745373,13.063343280935362,30.171700879765393,35.0,1.5161290322580645
BUE,2,621,2.5424325369745904,2.860419186018056,1.466096848391288,0.8637547789761111,3.875436681051111,2.680680072729227,2.86094785106,15.76725711218465,16.0,13.224824575210173,13.136161712009825,29.017230273752013,33.8,1.460547504025765
BUE,3,666,2.3757407153183685,2.5166736223515276,1.4264733584798,0.9211578752976388,3.916857247970139,2.5544854919138125,2.5793396201943057,15.473998998998997,15.666666666666666,13.098258283680824,13.058220487931248,26.263513513513512,31.0,1.4834834834834836
BUE,4,630,2.2498258139209883,2.137573758735,1.3614333278897255,0.6243027140768056,3.60627864253,2.42975658985853,2.1403489685291666,15.156931216931216,15.0,12.907105403010322,12.902060389809026,22.71904761904762,27.2,1.4333333333333333
BUE,5,651,2.0735696369061114,2.1598699205380556,1.4610130694226264,0.16307562533999997,3.1630512528530557,2.320533367646562,2.160794343875,14.917020822665984,15.0,12.84345179532279,12.841729415188373,18.461904761904762,24.0,1.4516129032258065
BUE,6,630,2.178369741944211,2.1109458803341665,1.416530115969166,0.6294037581644722,3.564537820199167,2.3543926324298403,2.115876468927639,15.08505291005291,15.0,12.906683168108907,12.906396288981231,15.685396825396824,20.0,1.4285714285714286
BUE,7,651,2.15311831518814,2.0270116835272223,1.4965933171751415,0.5012617758861111,3.51024188449,2.391077737603174,2.0333175444330553,15.148822324628776,15.0,12.995704009440667,13.00066520315215,15.00414746543779,20.0,1.456221198156682
BUE,8,651,2.272864062866869,2.080642250965,1.4094503414323205,0.8318345395894444,3.5754266377261112,2.4441301087321916,2.085966983316111,15.24600614439324,15.0,12.973142081526483,12.980373237071795,16.980184331797236,23.0,1.4792626728110598
BUE,9,630,2.190409420214922,2.2126249815661114,1.4400360167232094,0.2659099773021112,3.687609470753056,2.385174792062973,2.2157229431670835,15.010506172839506,15.0,12.82009700457739,12.818667870188914,19.11952380952381,24.51,1.565079365079365
BUE,10,651,2.4878324173786583,2.3683628321130556,1.5677359845518304,0.8301288591272221,4.303531105874167,2.705197875544255,2.3692555817011107,15.172964669738864,15.0,12.685132252360344,12.658757210230394,22.171889400921657,28.0,1.5576036866359446
BUE,11,630,2.628909951613998,2.7960472806366665,1.696246231042201,0.8601595841480001,4.349984108327222,2.886137604016579,2.8603659342741663,15.336772486772485,15.55,12.707862535158615,12.65315566889032,26.006507936507933,31.3,1.5047619047619047
BUE,12,651,2.7969233747103557,3.094994056836111,1.652870626535271,1.11050042039,4.61050042039,2.987891592145065,3.1182667263680557,15.679237071172555,16.0,12.882313696462226,12.835415580549757,28.87557603686636,34.0,1.477726574500768
CHI,1,682,2.410553039813628,2.4841097153311114,2.790090688451676,-1.3493746990274968,6.5325672934225,3.0771790690885243,2.931074247923611,14.414570299771913,14.5,12.004017783628209,12.010176280012576,-1.02316715542522,6.7,2.401759530791789
CHI,2,621,2.31886593165285,2.4142708714500003,2.246051766450378,-0.09799551160888888,4.421658730902222,2.776085197216332,2.902001659877222,14.410002683843262,14.5,12.091137135596645,12.092867168581568,1.1676328502415458,10.6,2.138486312399356
CHI,3,665,2.2297683877890004,2.550604572775,2.100264369461656,-0.5153798602851108,4.475237931785,2.6859361513402846,2.937317363431111,14.85911111111111,15.0,12.629343678090121,12.954713556000724,8.265263157894736,17.8,1.9428571428571428
CHI,4,630,2.207757559952735,2.631071112616111,2.3106246396720818,-0.9131156523826388,4.608500192246,2.841225174160297,2.8645446385963886,15.068201058201058,15.5,12.860443498248419,12.860160389809026,14.509206349206348,23.9,1.8571428571428572
CHI,5,651,2.4007304078811993,2.7044114966630555,2.1002616107402092,-0.2998294151877777,4.694939058499999,2.8009960650762116,3.18701216079,15.202281959378734,15.5,12.801551795322789,12.799829415188375,21.03625192012289,29.4,1.8125960061443933
CHI,6,630,2.3789734456479144,2.678472666503611,1.9170849709316373,0.08519531897416667,4.515847065492058,2.701534231288836,3.0851953189741668,15.243756613756615,15.5,12.864783168108907,12.864496288981233,26.884285714285713,32.8,1.873015873015873
CHI,7,651,2.2583823704876793,2.530438879202222,1.668485908681032,0.034923008423055554,4.057331399579167,2.474527131732556,2.5305078161130554,15.212186379928315,15.5,12.953804009440669,12.95876520315215,28.761443932411677,32.8,1.8525345622119815
CHI,8,651,2.181225916425497,2.0976544108130555,1.5451750690483563,0.11222521794722222,4.047031613199167,2.371248497899953,2.1023844442330555,15.11246799795187,15.0,12.931242081526483,12.938473237071795,27.910752688172046,32.2,1.8740399385560675
CHI,9,630,2.1545543181740894,2.24204977556,1.6894733325492381,0.2163329529899167,4.139955491813861,2.415895535317258,2.254524981566111,14.932751322751322,15.0,12.77819700457739,12.776767870188916,24.263650793650793,30.6,1.880952380952381
CHI,10,651,2.2761761170481534,2.406274072866111,1.8592326141810849,-0.08817326787083334,3.9045151537211114,2.6009203525770213,2.412274723024167,14.891757552483359,15.0,12.615582482775089,12.616857210230394,16.820890937019968,25.6,2.0798771121351765
CHI,11,630,2.268557495075811,2.4022659342741663,2.2813550737592636,-0.6146085338869445,4.359129602874306,2.742309867384326,2.4118121475761107,13.97102733686067,14.0,11.702470471666553,11.618171764315083,8.857777777777777,17.2,2.074603174603175
CHI,12,652,2.6051941043331652,2.6214715871372225,2.7164993327071976,-0.8021304335116384,6.796577665234499,3.1178695256084383,2.732846484999028,14.395098415132923,14.5,11.789905223741682,11.78591116483736,2.0374233128834356,10.0,2.4539877300613497
DAL,1,496,2.731124228660627,2.958349685329167,1.735599650776099,1.1893170263688888,3.9955939255029165,3.005411863186873,2.987362712916111,15.331441532258065,15.5,12.600317783628208,12.606476280012574,13.626612903225807,22.2,1.844758064516129
DAL,2,452,2.7435084851010667,3.30654785106,1.9283342763578377,0.3584281994252505,4.315708413339917,3.122846669396797,3.3072888568580554,15.430932890855457,16.0,12.687424581340865,12.68916716858157,15.974778761061948,25.6,2.006637168141593
DAL,3,478,2.853215860428528,3.352210944005,1.8441458147409786,0.981313772714139,4.402102012646111,3.1737727355086314,3.364579209209167,16.13822640632264,16.5,13.285011149660507,13.561630844438985,21.431589958158995,28.090000000000003,1.8410041841004183
DAL,4,450,2.8623896495524765,3.4754876161811112,1.7888862325104864,0.5819177664651112,4.506786066964612,3.155377983646362,3.4911009165041667,16.323777777777778,17.0,13.461388128225384,13.456460389809024,24.757555555555555,30.0,1.86
DAL,5,465,2.9069442999801614,3.1077809993649996,1.591245252091995,1.3005729027320025,4.6053019563025,3.083156597417446,3.108463515578056,16.304802867383515,16.5,13.397858567403434,13.396129415188375,28.845376344086024,33.3,1.8387096774193548
DAL,6,450,3.209154449808012,3.5101378201991666,1.231019058584764,1.5455693232789167,4.546966544368611,3.2447827853024975,3.5101378201991666,16.670333333333332,17.0,13.46117888352553,13.460796288981232,33.58111111111111,36.7,1.8911111111111112
DAL,7,466,3.017841463458698,3.433489871495139,1.314054750244496,1.45711210992,4.439983943622222,3.121063650878236,3.43361263392375,16.568025751072962,17.0,13.550184287614314,13.55506520315215,35.70364806866953,38.9,1.907725321888412
DAL,8,496,3.0003869396423544,3.078577886963472,1.1040563683860964,1.4686258348361112,4.445118525999167,3.0225605108650764,3.078577886963472,16.527889784946236,16.583333333333336,13.527502845303992,13.534773237071795,36.090927419354834,40.0,1.8991935483870968
DAL,9,480,2.874012202844382,3.0538502955861113,1.195029772156034,1.6332094707530556,4.0902111237896674,2.9637406404551134,3.0538502955861113,16.2484375,16.5,13.374425297155812,13.373067870188915,32.47625,36.7,1.85
DAL,10,496,2.756214099376308,2.9209635441081945,1.498664881311954,1.5146091234206944,3.8040691742800004,2.97753512672803,3.228633893956111,15.975739247311827,16.125,13.219525147935657,13.213157210230396,26.571370967741935,32.2,1.9294354838709677
DAL,11,480,2.7141483767676737,2.8139187618699997,1.6571146043139273,1.2964357424985002,3.814829220453056,2.992618452974172,2.8159676715149997,15.030912615740741,15.0,12.316764321645193,12.218242412417796,19.621458333333333,26.7,1.9145833333333333
DAL,12,496,2.617154626976539,3.0098912430711113,1.7740803991806817,0.6177888351630555,4.036731369147639,2.9065000430989785,3.0444672350141664,15.00326388888889,15.5,12.386109581932878,12.38221116483736,15.55241935483871,23.9,1.935483870967742
LON,1,682,2.136299518424668,1.8443884767399998,2.4799188805759544,-0.22893063049999998,5.824180090102999,2.588911237994838,1.8848496853291665,14.310117302052786,14.0,12.173817783628209,12.179976280012575,7.927272727272727,11.9,1.2434017595307918
LON,2,621,2.0956651188318,1.7492200827991666,1.8904236056351544,-0.25552912855,3.746756107555,2.331860863801892,1.7518587309022222,14.356602254428342,14.0,12.260937135596645,12.262667168581569,8.95378421900161,13.1,1.2270531400966183
LON,3,666,2.194262136739781,2.3387703119470835,1.55067052513428,0.2607793632811111,3.856952196722639,2.3361579584932652,2.3490897665691666,14.504504504504505,15.0,12.310242367764907,12.204563458614377,11.534384384384383,16.1,1.1636636636636637
LON,4,630,2.436423168418352,2.8993529310941666,1.5633572610852673,0.006749733942222223,4.009951279714417,2.55294650865513,2.901987616181111,15.471428571428572,16.0,13.035005403010322,13.029960389809025,15.056190476190476,20.1,1.1111111111111112
LON,5,651,2.596492546715212,3.0214328059061115,1.7556569915790605,0.03461149666305555,5.023352121579166,2.756407220431582,3.02201283955,15.567844342037889,16.0,12.97135179532279,12.969629415188374,18.169278033794164,23.8,1.1505376344086022
LON,6,630,2.5831416996161685,2.9457494444345835,1.858483152506668,-0.017291115507638868,4.947941268999917,2.787004400240771,2.94757605333,15.617724867724867,16.0,13.034583168108908,13.034296288981231,21.7631746031746,27.310000000000002,1.119047619047619
LON,7,651,2.619355539970535,2.8651230084230557,1.7694354250416537,-0.10392048290583333,4.865123008423056,2.7925117019578667,2.8664839436222223,15.742959549411161,16.0,13.12360400944067,13.128565203152151,23.701536098310292,29.2,1.0921658986175116
LON,8,651,2.393965598965179,2.8642345452761115,1.7690139261757685,-0.1048741651638889,4.867062612045,2.5846295409089897,2.867062612045,15.495007680491552,16.0,13.101042081526481,13.108273237071794,22.731029185867897,27.0,1.1290322580645162
LON,9,630,2.2295162229360312,2.1212080287,1.592568788126434,0.09030131244786113,4.06598431125,2.3977528267173693,2.1270790802461113,15.177513227513229,15.0,12.947997004577388,12.946567870188915,20.216825396825396,24.610000000000003,1.1444444444444444
LON,10,651,2.0494869488686738,2.21334278977,1.6341562634477522,0.20981328638722221,3.2424747230241664,2.2535183605557414,2.2166910716072223,14.711981566820276,15.0,12.662494617951742,12.786657210230395,16.000768049155145,19.1,1.1751152073732718
LON,11,630,2.0525972532012995,2.181470565142222,2.1232305123424706,0.1911674812391667,4.205057246238,2.3578299782774845,2.195733928705,13.84074074074074,14.0,11.788143487539566,11.781055668890321,11.25,15.0,1.16984126984127
LON,12,651,2.2723003844389877,2.02903491132,2.5351554016221614,-0.001868034693888889,6.928822370485278,2.658887576918047,2.06675946172,14.231822836661545,14.0,11.959522452222595,11.955711164837359,8.708294930875576,13.0,1.23963133640553
MIA,1,682,1.4864069084540021,1.5007787589916666,1.4742688968265036,-0.42226313535608323,3.098385736891361,1.7469006009421864,1.52865001063,13.982404692082111,14.0,12.495997783628209,12.502156280012574,24.37507331378299,27.8,1.9296187683284458
MIA,2,621,1.2917620914565888,1.4125799188050001,1.4281150657136539,-0.5817280551658333,2.9296787309022223,1.5963870052303033,1.4182719448341665,13.874879227053139,14.0,12.583117135596646,12.58484716858157,25.55217391304348,28.9,1.8244766505636072
MIA,3,665,1.2401621794109978,1.445337363431111,1.3724421385948606,-0.48853491331388893,2.981472015655778,1.5243834934433647,1.4646552867311111,14.361485797827903,14.5,13.121323678090121,13.446693556000726,26.832180451127822,30.0,1.781954887218045
MIA,4,630,1.220645284820453,1.1561986425300002,1.3377994864022282,-0.37478059963500004,2.6877712797144167,1.479356396259377,1.3071072354188888,14.573068783068782,14.5,13.352423498248417,13.352140389809025,28.683650793650795,31.1,1.873015873015873
MIA,5,651,1.045126678819655,1.1927388188199999,1.4210447492565648,-0.30726118118,2.7097899205380553,1.439403743810719,1.2875685033369446,14.338658474142346,14.5,13.29353179532279,13.291809415188375,30.302918586789556,32.8,1.803379416282642
